"orgname","codedef01","mission"
"AFRICAN HERITAGE ECONOMIC INITIATIVE","Community Improvement, Capacity Building","Significantly decrease poverty in Buffalo Ny's inner city for low income families, with emphasis on African Americans by promoting,instructing and facilitating self sufficiency through support of Entrepreneurial efforts and cooperative economics."
"AFRICAN AMERICAN ENTREPRENEURS ASSOCIATION INC","Community Improvement, Capacity Building","Organization is to train, educate, and support the African American community and supporters in understanding the importance of economic empowerment through entrepreneurship"
"SAVE OUR SISTERS UNITED INC ","Community Improvement, Capacity Building","Save Our Sisters United is breaking barriers and stigmas while standing in solidarity, and holistically empowering all Transgender and minority women. Better educating individuals and mobilizing all women of color through self-care and resources."
"THE BRICC FOUNDRY ","Community Improvement, Capacity Building","The vision of BRICC Foundry is to cultivate minority women through the pursuit of knowledge, mentorship and professional development to inspire women to pursue their career and life goals in spite of obstacles in their present state."
"JC LEGAL RESOURCES CENTER INC ","Community Improvement, Capacity Building","Provides legal services, civic education and entrepreneurship consultation to low and middle-income individuals who are connected to disadvantaged communities in Milwaukee, WI; nurture, educate, train and develop African American legal practitioners"
"NORTHEAST REACHING HIGHER COMMUNITYDEVELOPMENT","Community Improvement, Capacity Building","Seeking to create social justice by engaging and educating a diverse culture holistically with transformative life skills while advocating to rebuild the community."
"PEORIA BLACK CHAMBER OF COMMERCE LTD","Community Improvement, Capacity Building","promoting and developing Black enterprises and opportunities within the Greater Peoria Area and beyond"
"DIVERSITY AND LEADERSHIP INC ","Community Improvement, Capacity Building","The organization is dedicated to bring about diversity understanding and leadership development. It will conduct summit meetings and workshops of aspiring leaders to provide leadership training and mentorship from a diverse group of mentors."
"PRIVATE SCHOOL VILLAGE ","Community Improvement, Capacity Building","The Private School Village builds community by organizing social events, sharing resources, and providing programs for Black families in independent schools (K-12). We build healthy self-esteem, empower, mentor, and improve the community."
"COMMUNITY COMPASSION OUTREACH ","Community Improvement, Capacity Building","We assist persons to survive and to exit homelessness through relief of the poor and distressed with day work, public forums, donating used & new items, fostering human & civil rights, and collaborate with organizations for housing."
"ONE COLUMBUS INCORPORATED ","Community Improvement, Capacity Building","To foster a culture of unity through diversity outreach services"
"WORLD REFUGEE DAY IN WESTERN NEW YORK INC","Community Improvement, Capacity Building","The organization celebrates cultural diversity amongst New Americans and established neighbors.  We create a sustainable environment through cultural sharing and recreational activities.  We assist with acclimating to the United States."
"LIBERAL ARTS DIVERSITY OFFICERS CONSORTIUM INC","Community Improvement, Capacity Building","To promote diversity, equity and inclusion in support of academic excellence and learning across all constituencies at colleges and universities with a core commitment to liberal arts education."
"MINORITY WOMEN PHARMACISTS ASSOCIATION INC","Community Improvement, Capacity Building","TO PROMOTE AND SUPPORT MINORITY WOMEN PHARMACISTS. TO PROMOTE THIER PRESENCE IN THE HEALTHCARE INDUSTRY AND PROVIDE PHARMACEUTICAL SERVICES TO THE COMMUNITIES. TO PROMOTE PHARMACY AS A REWARDING CAREER CHOICE FOR STUDENTS."
"BLACK GIRL VENTURES FOUNDATION ","Community Improvement, Capacity Building","The Black Girl Ventures Foundation is dedicated to offering comprehensive education and advisory services that outline a road map for the growth and success of minority and/or veteran women entrepreneurs."
"FOUNDATION FOR BLACK ENTREPRENEURSHIP","Community Improvement, Capacity Building","The Foundation for Black Entrepreneurship exists to help disadvantaged Black-owned businesses with initial access to capital by providing free business development training and technical support."
"RISE WITHOUT FOUNDATION INC ","Community Improvement, Capacity Building","To empower individuals to launch social ventures by providing a network, education on entrepreneurship, and the ability to launch startups. Our target participant: homeless, veterans, women and underrepresented minority groups."
"TECHSTARS FOUNDATION ","Community Improvement, Capacity Building","The character, essence and purpose of the Corporation is to create, enhance, support and extend charitable, educational and scientific efforts that further inclusion and diversity in the entrepreneurial ecosystem globally."
"COURAGEOUS REALITIES INSTITUTE AND FOUNDATION","Community Improvement, Capacity Building","The specific purposes of the Courageous Realities Institute and Foundation will be to provide Small Business and Entrepreneurship Training, targeting aspiring entrepreneurs, minority- and women-owned small businesses with 1-15 employees."
"MAN DAY ORGANIZATION INC ","Community Improvement, Capacity Building","To create a unified and lifelong commitment to brotherhood that develops servant leaders, promotes excellence and elevates the quality of life for African American males, allowing them to improve the communities in which they live through education"
"CHARLESTON 100 BLACK MEN OF AMERICA ","Community Improvement, Capacity Building","To improve the quality of life and economic opportunities for the black community by fostering better education and youth development."
"BOOKS AND BALLS ","Community Improvement, Capacity Building","We strive to create prominent young scholars, through uplift and perseverance. Working with minority males between the ages of 5 and 14, we will teach them how to create their own success. We will also teach them how to help others find their success"
"ATLANTA BLACK CHAMBERS FOUNDATION ","Community Improvement, Capacity Building","ATLANTA BLACK CHAMBERS FOUNDATION IS AN ORGANIZATION THAT WILL FOCUS ON PROFESSIONAL DEVELOPMENT FOR BUSINESS OWNERS AND INDIVIDUALS WHO HAVE SMALL BUSINESSES WITHIN THE ATLANTA METROPOLITAN AREA."
"VIVIANS DOOR ","Community Improvement, Capacity Building","The primary mission of Vivian's Door is to help minority businesses grow, scale, and reinvest in their communities."
"WESTERN REGION DEVELOPMENT AND TRAINING","Environmental Quality Protection, Beautification","The organization's mission is to help disadvantaged and minority populations with education, development and training related to agriculture and natural resource conservation, preservation, processes and techniques."
